# seed=42
Laser Power, Material Start, Material End
4.396940062685428074e+02,5.480435911384708980e-01,4.525100169484406187e-01
4.627614530837050211e+02,2.139810261643812148e-02,9.370228319092969160e-01
4.577004824290455645e+02,7.976472872399837932e-01,2.411530092106407008e-01
4.805801344332465419e+02,5.027015336895094277e-01,9.961188111806089651e-01
5.762604580356826318e+02,8.312649763797698155e-01,4.372672151003475505e-01
6.207484105899334281e+02,5.316474172699557910e-01,3.616493069770921887e-01
5.226901243584186432e+02,2.118096018260782754e-01,9.625443134020625902e-01
6.517814847893367869e+02,3.173711200395914478e-01,5.636847767027499678e-01
6.159916382273751196e+02,3.615406879400022699e-01,1.257363555644269715e-01
4.325231496649494716e+02,6.663245662836259076e-01,4.734312057308532329e-01
4.557737177405276725e+02,9.969142101586490889e-02,1.006339020935150957e-01
5.439370121704623671e+02,3.092028949865969212e-01,4.981653246548966574e-01
4.367940085704942135e+02,6.018678415781612001e-01,1.399978650699545135e-01
5.539276618707542639e+02,3.750432087409728138e-02,7.655266752740047531e-01
5.308402595305520890e+02,1.260383577089339291e-01,2.358607187268171868e-01
5.667118817591072002e+02,4.522783980527589343e-01,3.743537507800998032e-01
5.769694999228308916e+02,4.603722579749399552e-02,9.810619898419746798e-01
6.543086127383720623e+02,9.666073592498445333e-01,3.231076874488519324e-01
4.936752549160866579e+02,9.553213557085268315e-01,3.889382992114243653e-01
4.688968237888377644e+02,8.562194720763527389e-01,6.890600881194253180e-01
4.516379981848809280e+02,7.796241928419270772e-01,1.877853752743349758e-01
5.131014113785807922e+02,7.209609008037806133e-01,4.429836141704435182e-01
5.283925180732352374e+02,7.824079428873792486e-01,6.649595398659080558e-01
6.363860634505920189e+02,3.991998771077305275e-01,9.882497847733550111e-01
6.420196149329913169e+02,1.317882051924984810e-01,2.457193208058721656e-01
5.794038742019279198e+02,2.920825849480561121e-01,5.919192015423156983e-01
5.891066718723436679e+02,3.827036325406657502e-01,6.504364859048521463e-01
5.455763785952159424e+02,1.419026030553723061e-01,2.697814354177708873e-01
6.648914662778857974e+02,7.828485571175489155e-02,6.690744012688129017e-01
5.811225819656907561e+02,5.569534657968484848e-02,8.827354343739396425e-01
