# seed=42
Laser Power, Material Start, Material End
6.899356263708664301e+02,1.371222431204958958e-01,5.482828041601771618e-01
4.973815791825643942e+02,9.258116453042247729e-01,8.980487552967265641e-01
4.433433161788057646e+02,4.544278713894460697e-01,9.197437727346489122e-01
6.373297684372626009e+02,9.852584039515348557e-01,7.141464700223028039e-01
4.818136809279516228e+02,3.963544767734583085e-01,6.511317160234533774e-02
5.450636567669291708e+02,1.788908304259683169e-01,4.198723654877916101e-01
6.605034212968043903e+02,4.847366712017558976e-01,3.804838245198292057e-01
6.871872844191220793e+02,2.080586039512101748e-01,2.082137577573556220e-01
5.567329699017557232e+02,7.776107225842959769e-01,2.430665579925459507e-01
5.885531427064552190e+02,8.380649805351315651e-01,7.813483492837236533e-01
6.163777241763791608e+02,3.306088837744838860e-02,3.216210572818314350e-01
6.477220470967987467e+02,3.904859014754813451e-02,4.395461813018982089e-01
4.271981116031905117e+02,4.511256961622553407e-01,2.523346436078843236e-01
6.965798409387986112e+02,9.133752667172359008e-01,9.023354803972095661e-01
5.615171413855018727e+02,2.972250432419396571e-01,7.614233437921394954e-01
5.213905026976150339e+02,2.597204950327813844e-01,1.560018359504978386e-02
4.167955826381494262e+02,7.042615124499572443e-02,3.526702982868158975e-01
5.717769007728242059e+02,5.564385419379560549e-01,8.530821684489232615e-01
6.720587552824282511e+02,4.017204060037447011e-01,5.037709398529280902e-01
4.409989582229256939e+02,3.310578075877137483e-01,2.328695277870376223e-01
6.575410006855504434e+02,9.507305633599987260e-01,5.528928411986839819e-01
4.632644757035527618e+02,6.413920998038747934e-01,7.299383643308641201e-01
4.285379695664605606e+02,4.235708306543609081e-01,3.391829427125507279e-01
6.340879581560391216e+02,2.355321210282693423e-01,1.138833945166218692e-01
4.946311696647867961e+02,6.174128124844665555e-01,5.586761669705462285e-01
4.872657807085952300e+02,3.544322035817871752e-01,5.846713729193452336e-01
5.995561678831359131e+02,2.363719592306679218e-01,4.076660541601845877e-01
4.905863727561196583e+02,5.898199042784486590e-01,4.445552812988070590e-01
6.727228736618492348e+02,3.896774564419328013e-01,4.809979104497932867e-01
6.583713872643420473e+02,4.593969758217042454e-01,5.667394348137623217e-01
4.597829124336679456e+02,7.238247001613677956e-01,8.517639881957590475e-01
6.226228614012702565e+02,9.601828386185847775e-01,7.086005857323784962e-01
6.602404780231242967e+02,7.500616472453045525e-01,8.864424981920684399e-01
4.841698658865046241e+02,4.031012769957124098e-01,3.154555168763096828e-01
5.067421654227078989e+02,6.601947952069122660e-01,5.810884474203327210e-01
6.992785819811228976e+02,6.733880867516987001e-01,9.284156086211621528e-02
4.958939363302364427e+02,4.662867714318152390e-01,8.784829609403296269e-01
6.101683222264294955e+02,9.513581392044978546e-02,2.727453823185950754e-01
6.432495412186524391e+02,3.047003067968903633e-01,3.338311113577202005e-01
5.629505155586975889e+02,4.059167716522762426e-01,1.910120183615109657e-01
5.354020832726002936e+02,7.417109516222678556e-01,4.237931940645549012e-01
5.772474132566933349e+02,7.636588140629262389e-01,4.614975976324640905e-02
6.036513633161797543e+02,6.993062603909303565e-01,2.128181690170371787e-01
5.847863176773821579e+02,8.700828815735170974e-01,1.770353931261141878e-01
5.873303588636498489e+02,9.318345400001550871e-01,9.050266833383237008e-01
4.477055758033873190e+02,9.141243470900500823e-01,3.568565438952478464e-01
5.203159063593658402e+02,1.734660486738162088e-01,6.593368620053148277e-01
6.012875965585170661e+02,4.331221770793899362e-01,7.239567758402393194e-01
6.569042248454834407e+02,7.342076784563204006e-01,8.817195018220028713e-01
5.730675783138765382e+02,1.637828485177291182e-01,7.306555198139204066e-01
6.854312597296966487e+02,8.246811547306162060e-01,9.305460107714262907e-01
6.119388115048493546e+02,8.697845181080881005e-01,4.121679763097247928e-01
5.240618716054631250e+02,4.992517488764764561e-02,6.368902950612169711e-01
5.323774466296824812e+02,6.023404205137351530e-01,7.023834970558714419e-01
5.726097166643063474e+02,1.080942012098605187e-01,7.741816432371977086e-02
5.958909657224610328e+02,9.148806981886480061e-02,9.501279128599020574e-01
6.405012353094507489e+02,4.699101787612153247e-01,1.931298058799938988e-01
4.582045746615664825e+02,4.342166454674901699e-01,9.545027839610861209e-01
5.932655245054728539e+02,5.702131067206043236e-01,9.749622832792270710e-01
6.260104425689015670e+02,6.904559751357779440e-01,2.626766774736644661e-01
4.993758053626757487e+02,4.318110666638769191e-01,2.905064207773019880e-01
6.086425236904462963e+02,6.681263736989324631e-01,7.575180588499885737e-01
5.493263452405531098e+02,6.243377746557502439e-01,4.776934313667509646e-01
6.236924390151053785e+02,9.728012344169583159e-01,4.642508759183250344e-01
6.980821392005711914e+02,3.933793526541998209e-01,4.404451903235176435e-01
6.706169041443633887e+02,9.449985176275953469e-01,1.597122049948974942e-01
6.107934047958322026e+02,3.575633499074293287e-02,5.449873401367586467e-01
6.695834425386142357e+02,5.528377667815582708e-01,4.316004486966799059e-01
5.417175252842906730e+02,6.365691857407683729e-01,2.265220319921689152e-01
4.749213653490655815e+02,1.957524923926993177e-01,3.614487489798699077e-02
4.242022814723418378e+02,3.520887534859060697e-01,1.974271075462359082e-01
5.122451149424127834e+02,9.899502810172274847e-01,6.548896039153463411e-01
6.619485314084101901e+02,6.060675361757136281e-01,1.408079148935312552e-01
5.518401860670398946e+02,4.183912781687740834e-01,8.750652367968894119e-01
6.875291419304487590e+02,5.459643264320460654e-01,9.777817120064685730e-01
6.983023428310702911e+02,7.904063658233496659e-01,7.175347185160672048e-01
6.240815382456405587e+02,6.347879683585999633e-01,1.826452209244797467e-02
5.376381357055968238e+02,4.517485686145263774e-02,9.112516319131855891e-01
6.487444707481758996e+02,9.746961379488400246e-01,7.662650187364953291e-01
4.793523914318539028e+02,8.483668624731521835e-01,4.697894438402917539e-01
4.491600646858269101e+02,6.428111326724871288e-01,1.097076535116146140e-01
6.587052014857262066e+02,4.073793306521518720e-01,2.557122561340577360e-01
5.698474177165076071e+02,8.336689365545294494e-01,1.054305598353241363e-01
6.807078319628847112e+02,6.757690198726693520e-01,6.739577039673271264e-01
5.169667627545014739e+02,5.336507170581282766e-01,4.718932361347455973e-01
4.008453137103334143e+02,7.686385709464009786e-01,1.572127390863359564e-01
6.338092053418288288e+02,5.649909475259555780e-01,7.342499901155307152e-01
4.510893210239066775e+02,7.819130498759743197e-01,4.016370031808069729e-01
5.414579530773373790e+02,4.795012248483355721e-01,2.668575346965144646e-01
6.265502425445780545e+02,3.139014917601448129e-01,1.852527717230808557e-01
